Id2,median_age,county
55051,55.2,Iron
55125,54.8,Vilas
55001,54.1,Adams
55037,54,Florence
55029,53.5,Door
55013,53.2,Burnett
55007,53.1,Bayfield
55099,51.7,Price
55085,51.5,Oneida
55129,51.2,Washburn
55113,50.8,Sawyer
55077,50.2,Marquette
55137,49.5,Waushara
55075,48.8,Marinette
55107,48.8,Rusk
55067,48.7,Langlade
55069,48.2,Lincoln
55041,47.1,Forest
55083,46.8,Oconto
55091,46.8,Pepin
55023,46.3,Crawford
55095,46,Polk
55011,45.9,Buffalo
55103,45.8,Richland
55135,45.7,Waupaca
55047,45.5,Green Lake
55115,45.5,Shawano
55057,45.1,Juneau
55071,45.1,Manitowoc
55005,44.7,Barron
55061,44.3,Kewaunee
55141,44.1,Wood
55089,43.8,Ozaukee
55119,43.6,Taylor
55045,43.4,Green
55131,43.3,Washington
55049,43.2,Iowa
55133,43.2,Waukesha
55021,42.5,Columbia
55027,42.5,Dodge
55031,42.3,Douglas
55053,42.2,Jackson
55123,42,Vernon
55003,41.9,Ashland
55039,41.7,Fond du Lac
55065,41.7,Lafayette
55017,41.5,Chippewa
55117,41.5,Sheboygan
55055,41.2,Jefferson
55111,41.2,Sauk
55073,41,Marathon
55121,41,Trempealeau
55015,40.6,Calumet
55127,40.5,Walworth
55101,40.2,Racine
55105,39.7,Rock
55081,39.5,Monroe
55109,39.4,St. Croix
55059,38.6,Kenosha
55139,38.5,Winnebago
55087,38.3,Outagamie
55009,37.6,Brown
55019,37.5,Clark
55097,37.3,Portage
55093,37,Pierce
55063,36.2,La Crosse
55043,36,Grant
55025,35.2,Dane
55033,35.2,Dunn
55079,35.1,Milwaukee
55035,34.8,Eau Claire
55078,31.1,Menominee
